SRR6903557	Texanus_20_21.2004.008
SRR6903558	Texanus_20_21.2004.010
SRR6974514	Texanus_20_21.2004.010
SRR6903559	Texanus_20_21.2004.012
SRR6903560	Texanus_20_21.2004.014
SRR6903561	Texanus_20_21.2004.016
SRR6903562	Texanus_20_21.2004.018
SRR6903563	Texanus_20_21.2004.020
SRR6974513	Texanus_20_21.2004.020
SRR6903564	Texanus_20_21.2004.022
SRR6903555	Texanus_20_21.2004.024
SRR6903556	Texanus_20_21.2004.026
SRR6903863	Texanus_20_21.2004.028
SRR6903864	Texanus_20_21.2004.030
SRR6974512	Texanus_20_21.2004.030
SRR6903865	Texanus_20_21.2004.032
SRR6903866	Texanus_20_21.2004.034
SRR6903859	Texanus_20_21.2004.036
SRR6903860	Texanus_20_21.2004.038
SRR6903861	Texanus_20_21.2004.040
SRR6974511	Texanus_20_21.2004.040
SRR6903862	Texanus_20_21.2004.042
SRR6903857	Texanus_20_21.2004.044
SRR6903858	Texanus_20_21.2004.046
SRR6903814	Texanus_20_21.2004.048
SRR6903813	Texanus_20_21.2004.050
SRR6974510	Texanus_20_21.2004.050
SRR6903816	Texanus_20_21.2004.054
SRR6903815	Texanus_20_21.2004.104
SRR6903818	Texanus_20_21.2004.105
SRR6903817	Texanus_20_21.2004.109
SRR6903820	Texanus_20_21.2004.114
SRR6903819	Texanus_20_21.2004.116
SRR6903811	Texanus_20_21.2004.122
SRR6903810	Texanus_20_21.2004.126
SRR6903748	Texanus_20_21.2004.132
SRR6903749	Texanus_20_21.2004.133
SRR6903746	Texanus_20_21.2004.134
SRR6903554	Texanus_20_21.2006.138
SRR6903544	Texanus_20_21.2006.142
SRR6903545	Texanus_20_21.2006.146
SRR6903926	Texanus_20_21.2006.150
SRR6974391	Texanus_20_21.2006.150
SRR6903845	Texanus_20_21.2006.154
SRR6903928	Texanus_20_21.2006.158
SRR6903927	Texanus_20_21.2006.162
SRR6903844	Texanus_20_21.2006.166
SRR6903843	Texanus_20_21.2006.170
SRR6974390	Texanus_20_21.2006.170
SRR6903924	Texanus_20_21.2006.174
SRR6903923	Texanus_20_21.2006.178
SRR6903681	Texanus_20_21.2006.182
SRR6903680	Texanus_20_21.2006.186
SRR6903887	Texanus_20_21.2006.190
SRR6974393	Texanus_20_21.2006.190
