name	RecepDam	StemB	MidgeDam	HoleDam	SuckDam	ChewDam	GlandDens	HairDens	CNratio	SLA	WUE	Succ	DaysToBud	SMT	Longevity	DiskDiam	HtLow	Bushy	RelBrDiam	Volume	InflNum	SeedWt	GoodSeeds	SeedsPerInfl	Rhodo
QTL.2	0.5	0	0.74289164	0.155415397	5.773502692	2.236067977	4.533821537	4.61910465	7.028586629	144.0354331	-29.16	0.82	75	27	165	34	13	2.7	0.294914887	26.94779505	8.831760866	8.494117647	33.97318877	3.846706142	2
QTL.3	0	1.414213562	0.931747993	0	7.302967433	2.041241452	1.767020136	3.570663429	7.598216851	165.4311927	-29.79	0.82	72	18	165	19.44	3	2.7	0.23815621	16.94229708	8.660254038	7.1	7.433034374	0.858292879	6
QTL.4	0	1.414213562	0.396231997	0	6.055300708	1.936491673	2.650530204	4.267759085	6.369757855	161.2189055	-28.05	0.84	69	21	153	30.37	2.5	2.7	0.258815088	18.62188831	9.38083152	5.775757576	27.17022873	2.896356114	1
QTL.5	0	1	0.469017394	0	6.055300708	1.825741858	2.793904151	4.41755034	8.086757123	159.7286822	-29.43	0.84	81	27	174	33.4	2.5	2.7	0.267015567	23.91140346	10.34408043	7.383561644	40.40832241	3.906419973	2
QTL.6	0	2	0.841564406	0	6.32455532	2.581988897	1.691792978	4.41755034	7.426376821	167.5275938	-28.9	0.82	-	27	168	27.75	12	2.7	0.37037037	14.60204024	7.211102551	6.675	19.13320628	2.653298319	2
QTL.7	1.154700538	1	0.445765181	0	7.071067812	1.825741858	2.885531799	4.175305685	7.254378093	187.6939655	-29.66	0.84	81	27	153	35.68	2	2.2	0.209713024	21.71231234	5.196152423	8.01443299	21.41769499	4.121837323	3
QTL.8	0	0	0.046752417	0	5.477225575	1.936491673	3.782964103	4.702841461	7.603209118	180.6734007	-30.1	0.83	87	34	148	30.63	67	2.3	0.231355471	13.13118605	4.358898944	7.716326531	19.67278624	4.513246693	1
QTL.9	0	1	0	0	7.071067812	2.581988897	4.757847325	3.748415762	7.693949345	204.7058824	-30.41	0.83	72	24	138	26.92	12.5	2	0.623268698	5.758702562	2.828427125	5.596	16.53318342	5.845363054	2
QTL.10	0	0	0.157138993	0	6.32455532	2.813657169	2.103174639	3.918112317	7.124624864	222.1	-30.05	0.86	72	18	162	27.39	2	2.6	0.257364587	27.52595333	9.486832981	6.566	23.4034435	2.466939551	5
QTL.11	0.40824829	0	0.274338623	0	4.472135955	1.707825128	4.675095842	4.328297699	6.927605952	206.8888889	-30.43	0.85	78	27	174	31.58	10	2.4	0.256899589	17.78653227	6.782329983	7.150943396	22.4665937	3.312518523	1
QTL.12	0	0	0.396226415	0	6.582805886	4.031128874	3.497033595	4.267759085	8.237171516	200.1075269	-30.15	0.84	69	21	168	29.77	17	2.7	0.256523662	20.74662154	8.124038405	6.853125	23.30054193	2.868098447	3
QTL.14	0.377964473	1	0.22797727	0	4.082482905	1.707825128	3.81719977	3.983967556	7.111900084	206.2228261	-29.16	0.85	75	24	168	29.7	3	2.4	0.278631428	16.37673603	5.291502622	7.695652174	21.36595978	4.037786864	3
QTL.15	0	1	0.454417105	0	5.477225575	0.912870929	2.164148849	3.748415762	7.489038899	230.2405498	-30.29	0.85	72	24	165	29.51	4	2.5	0.282548476	19.12890744	6.403124237	8.914814815	25.93247976	4.049972919	2
QTL.17	0	1	0.857446809	0	4.830458915	1.290994449	2.223451579	4.358251673	8.32515082	216.4186047	-29.82	0.86	45	27	159	24.81	2	2.8	0.294153397	18.70099198	11.5758369	6.531818182	20.46338193	1.767766953	2
QTL.18	0	0	0.395923481	0	7.302967433	0.912870929	2.446328605	4.446903157	7.152659537	187.9282869	-29.14	0.85	69	27	162	29.94	1	2.8	0.220867568	37.51116002	12	7.252	67.11684738	5.593070615	1
QTL.19	0	0	0.466871968	0	5.204164999	1.443375673	5.02385091	4.267759085	9.73845745	171.2751678	-29.2	0.85	84	21	165	26.78	71	2.6	0.202718817	28.56742145	7.483314774	7.211666667	37.34065244	4.989854572	5
QTL.20	0	0	0.787683353	0	0.645497224	1.58113883	3.748415762	3.383585956	7.771490897	204.6181818	-29.48	0.85	81	27	159	33.4	54	2.4	0.257476728	20.0663482	5.477225575	8.986206897	13.50481396	2.465630413	1
QTL.21	0	1.414213562	0.250187299	0	7.958224258	1.58113883	3.060568654	3.606914749	7.050353884	221.8397626	-29.27	0.85	63	30	148	27.81	32	2.6	0.29108343	22.12440869	8.306623863	7.9	43.70903229	5.26194914	1
QTL.22	0.774596669	0	0	0.088566699	3.227486122	1.443375673	3.534040272	4.41755034	7.392186606	200.3021148	-30.12	0.85	75	27	138	30.96	5	2	0.217956656	17.52924039	4.898979486	6.6	23.19987161	4.735653961	0
QTL.23	0	1	0.162199098	0	5.163977795	2.041241452	0.883510068	3.71354602	8.414938507	199.787234	-30.27	0.83	54	24	171	25.5	1	2.9	0.277230368	24.99680534	12.68857754	6.041666667	50.15995249	3.953158053	9
QTL.24	0	1.414213562	0.2171774	0	4.830458915	1.58113883	4.61910465	4.47606349	8.23958414	186.1256545	-29.73	0.83	78	27	159	37.34	13	2.5	0.278287462	18.72496149	6.557438524	8.605	34.97930423	5.334293886	0
QTL.25	0	0	0.085106383	0	3.16227766	1.443375673	3.344915133	3.851131102	6.99219583	166.4720812	-28.3	0.85	84	27	174	29.44	3	2.8	0.251979013	35.70146575	12.88409873	9.758139535	30.40559159	2.35993159	2
QTL.27	0	1.732050808	0	0	6.551081336	2.140872096	3.642805332	4.112515557	6.676461112	199.046875	-29.41	0.85	69	27	156	35.88	4	2.7	0.293040293	26.36265999	9.273618495	9.561904762	50.94963858	5.494040822	8
QTL.28	0.447213595	1.732050808	0.600653839	0	6.055300708	1.825741858	1.767020136	3.81719977	6.689497379	191.5370019	-28.31	0.85	57	30	180	20.6	3	2.9	0.358995933	25.54069964	12.32882801	5.916666667	44.67620199	3.623718489	3
QTL.29	0	0	0.36264053	0	4.082482905	4.082482905	4.175305685	4.175305685	6.602951748	211.6138329	-28.8	0.86	72	21	159	30.64	6	2.6	0.293829579	27.50468455	8.366600265	8.884285714	47.02127178	5.620116928	4
QTL.30	0	1.414213562	0.379617786	0	5.845225972	1.58113883	4.446903157	4.01649028	7.188596117	200.7936508	-28.75	0.86	78	21	156	29.72	3	2.6	0.277965592	24.77706613	8.94427191	6.862857143	43.62118399	4.876996633	5
QTL.31	0	1	0.358	0.202484567	4.915960401	1.290994449	2.337547921	4.647184572	8.028941328	195.44	-29.04	0.86	39	24	153	22.88	3	2.8	0.293746464	18.32721263	10.86278049	6.246875	34.66987165	3.191620384	7
QTL.33	0	0	0.063887635	0	4.082482905	1.290994449	3.884766074	3.918112317	7.518995054	221.7465753	-29.92	0.84	69	27	156	34.16	42	2.6	0.345181453	13.55809505	5.385164807	10.31707317	41.64198057	7.732721664	1
QTL.34	0	0	0.070748299	0	6.582805886	2.140872096	3.851131102	3.918112317	7.44999634	212.9545455	-29.14	0.85	75	24	168	26.01	35	2.6	0.243531202	15.3166348	7.416198487	7.609677419	18.47971861	2.491804749	0
QTL.35	0	0	0.392217773	0	5.515130703	3.818813079	3.459631091	3.642805332	6.366782422	208.4787018	-29.55	0.87	-	24	168	31.7	2	2.7	0.223733667	22.9360284	11.18033989	7.125714286	58.4922397	5.231704965	0
QTL.36	0	1	0.055589998	0	1.825741858	2.140872096	2.498943841	3.71354602	7.634327625	184.8342059	-29.48	0.86	66	27	171	28.92	19	2.7	0.295128754	20.4803794	8.124038405	6.77	69.74839575	8.585434026	3
QTL.37	0	2.236067977	0.170633139	0	8.660254038	4.377975179	2.103174639	3.918112317	7.095848146	246.4757709	-29.52	0.87	66	21	165	27	1	2.8	0.262166565	16.73090528	12.489996	6.279761905	33.28963803	2.665304139	0
QTL.38	0	1.414213562	0.85106383	0	6.357410374	3.535533906	1.249471921	3.782964103	6.704472919	220.8992806	-29.19	0.87	51	21	174	25.12	19	2.9	0.412114242	19.12515146	10.90871211	4.942857143	14.62678561	1.340835238	0
QTL.39	0	1	0.138270685	0	7.274384281	1.58113883	3.606914749	3.497033595	7.496140966	215.5813953	-30.28	0.86	72	27	162	33	8	2.5	0.301176292	21.34393976	8.185352772	8.59787234	38.43696031	4.695822084	0
QTL.40	0	1	0.628053036	0	7.245688373	2.661453237	3.102785388	3.344915133	7.534450337	221.8315018	-30.05	0.84	81	27	174	31.73	92	2.8	0.359629658	24.42966465	8.306623863	8.518518519	31.46199521	3.787579134	0
QTL.41	0.40824829	2	0.478270247	0	7.100469468	2.738612788	3.060568654	2.974338098	6.482917742	246.4495114	-30.44	0.87	75	15	165	30.94	8	2.7	0.256866909	30.51326099	12	11.23076923	46.89446566	3.907872138	1
QTL.42	0.534522484	1.732050808	0.754098361	0	8.164965809	2.5	1.839172869	3.71354602	6.835450049	228.6486486	-30.41	0.85	66	21	168	28.68	5	2.7	0.308029297	25.15667586	10.53565375	5.915	21.27554487	2.019385353	1
QTL.43	0	0	0.16322122	0	7.527726527	2.236067977	2.746944434	3.678345738	7.530670512	257.2680412	-30.22	0.86	69	24	174	31.93	64	2.8	0.393700787	21.00030606	9.219544457	7.776119403	72.60575968	7.875200344	0
QTL.44	0	0	0.235209493	0	7.071067812	2.886751346	3.459631091	3.782964103	7.948034591	243.992674	-31.72	0.86	72	18	174	31.23	8	2.6	0.289807614	20.63242966	9.16515139	9.455	75.91621408	8.283138036	1
QTL.45	0	0	0	0	8.755950358	2.140872096	2.164148849	3.226122627	5.971673676	284.0384615	-30.98	0.87	72	27	159	26.85	35	2.8	0.304304304	21.63607153	8.485281374	5.7	4.534483263	0.534393977	0
QTL.46	0.5	1	0.767843176	0	9.660917831	2.581988897	2.337547921	3.951177142	8.608373264	233.5930736	-32.19	0.86	81	24	174	33.83	69	2.7	0.382905138	17.64730109	7.141428429	7.24	27.0788161	3.791792688	1
QTL.48	0	0	0.713846154	0	9.486832981	3.291402943	1.530284327	3.185540853	7.206851181	333.2407407	-32.89	0.88	84	27	180	26.03	13	2.7	0.302646396	20.21761277	7.549834435	8.46	20.83266666	2.759354107	0
QTL.49	0	0	0.90762136	0	5.773502692	5.400617249	3.144435378	3.102785388	7.210220246	289.1463415	-33.02	0.87	96	30	174	29.5	62	2.5	0.244725738	12.73274256	4.898979486	7.6	7.506728361	1.53230451	0
QTL.50	0	1.414213562	0.814772839	0	10	3.708099244	3.017761389	2.793904151	7.085090174	282.6623377	-33.01	0.87	81	24	177	27.41	26	2.2	0.253233598	12.70062675	5.099019514	4.055555556	6.650077399	1.304187478	0
QTL.51	0.707106781	0	0.74139219	0.184271152	9.486832981	2.236067977	4.865994029	3.383585956	6.39789587	261.4130435	-31.69	0.87	84	39	180	29.86	84	2.3	0.295222759	12.976989	3.464101615	7.011538462	18.322138	5.289145652	0
QTL.52	0	0	0.902777778	0	9.660917831	1.118033989	3.144435378	3.459631091	7.772686919	308.4848485	-32.45	0.87	93	21	174	23.59	74	2.6	0.191326531	10.62842548	3.741657387	4.7	2.645751311	0.707106781	0
QTL.53	0	0	0.604015286	0	9.831920803	2.415229458	1.140606593	2.930271394	6.491489328	304.063745	-32.11	0.88	51	18	177	25.3	3	2.8	0.312107059	24.57913336	9.848857802	4.886956522	17.92620596	1.820130448	0
QTL.54	0.612372436	1.732050808	0.939731231	0	8.563488386	3.16227766	1.140606593	3.266200221	6.669820729	283.7558685	-31.06	0.89	66	27	177	27.23	12	2.8	0.289585097	25.29305345	10.86278049	5.545714286	20.28583623	1.867462594	0
QTL.55	0	1	0.154283934	0	7.302967433	1.825741858	2.392556575	3.383585956	6.819950163	261.026616	-31.18	0.87	72	24	168	29.52	19	2.7	0.329070202	17.52602368	9.695359715	6.117021277	36.66039172	3.781230692	2
QTL.56	0	0	0.807476276	0.214185755	6.582805886	3.651483717	2.392556575	3.226122627	7.375776101	257.7697842	-29.97	0.88	90	-	180	-	32	2.4	0.312617231	15.40910328	4.582575695	5.683333333	11.90245783	2.597329237	1
QTL.57	0	1	0.167012172	0	6.645800679	1.443375673	1.839172869	3.782964103	7.271116096	228.4883721	-29.54	0.87	72	24	177	30.24	4	2.5	0.316178312	16.27689449	7.280109889	7.075609756	32.3223349	4.43981415	1
QTL.58	0.707106781	1	0.72285436	0	6.123724357	5.163977795	2.337547921	3.983967556	7.066724675	238.3247423	-29.84	0.87	60	27	174	30.6	4	2.8	0.270103257	33.8657606	14.45683229	8.42	49.72148387	3.439306956	1
