Chr	lg	haplotype
1	1	1
1	2	2
1	3	3
1	4	4
1	5	1
1	6	4
1	7	NA
1	8	1
1	9	NA
1	10	NA
2	1	1
2	2	3
2	3	2
2	4	4
2	5	1
2	6	2
2	7	NA
2	8	4
2	9	NA
2	10	NA
3	1	1
3	2	3
3	3	4
3	4	2
3	5	2
3	6	1
3	7	1
3	8	NA
3	9	NA
3	10	NA
4	1	1
4	2	3
4	3	4
4	4	2
4	5	1
4	6	1
4	7	1
4	8	2
4	9	4
4	10	NA
5	1	1
5	2	3
5	3	2
5	4	4
5	5	3
5	6	4
5	7	2
5	8	1
5	9	2
5	10	1
6	1	1
6	2	2
6	3	3
6	4	4
6	5	1
6	6	4
6	7	2
6	8	2
6	9	NA
6	10	NA
7	1	1
7	2	3
7	3	2
7	4	4
7	5	2
7	6	1
7	7	1
7	8	1
7	9	1
7	10	NA
8	1	1
8	2	2
8	3	3
8	4	4
8	5	1
8	6	3
8	7	NA
8	8	NA
8	9	NA
8	10	NA
9	1	1
9	2	2
9	3	3
9	4	4
9	5	4
9	6	NA
9	7	NA
9	8	NA
9	9	NA
9	10	NA
10	1	1
10	2	3
10	3	2
10	4	4
10	5	1
10	6	4
10	7	3
10	8	4
10	9	2
10	10	NA
11	1	1
11	2	2
11	3	3
11	4	4
11	5	2
11	6	3
11	7	NA
11	8	4
11	9	NA
11	10	NA
12	1	1
12	2	2
12	3	3
12	4	1
12	5	4
12	6	2
12	7	1
12	8	NA
12	9	NA
12	10	1
13	1	1
13	2	2
13	3	3
13	4	4
13	5	1
13	6	2
13	7	4
13	8	3
13	9	1
13	10	4
14	1	1
14	2	2
14	3	3
14	4	4
14	5	NA
14	6	NA
14	7	NA
14	8	NA
14	9	NA
14	10	NA
15	1	1
15	2	3
15	3	2
15	4	4
15	5	3
15	6	1
15	7	1
15	8	2
15	9	2
15	10	NA
16	1	2
16	2	1
16	3	1
16	4	3
16	5	4
16	6	1
16	7	3
16	8	4
16	9	2
16	10	NA
17	1	1
17	2	2
17	3	3
17	4	4
17	5	1
17	6	3
17	7	4
17	8	2
17	9	4
17	10	2
