ID	year	gen	plot_type	type	location	lane1	lane2	lane3	tech
2004.104	2004	2.5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2004.105	2004	2.5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2004.109	2004	2.5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2004.114	2004	2.5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2004.116	2004	2.5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2004.122	2004	2.5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2004.126	2004	2.5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2004.132	2004	2.5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2004.133	2004	2.5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2004.134	2004	2.5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2004.008	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.010	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.012	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.014	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.016	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.018	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.020	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.022	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.024	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.026	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.028	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.030	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.032	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.034	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.036	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.038	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.040	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.042	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.044	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.046	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.048	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.050	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2004.054	2004	2.5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2006.138	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.142	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.146	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.150	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.154	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.158	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.162	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.166	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.170	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.174	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.178	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.182	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.186	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.190	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.194	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.198	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.202	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.210	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.214	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.218	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.222	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.226	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2006.230	2006	4	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2007.800	2007	5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2007.802	2007	5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2007.806	2007	5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2007.808	2007	5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2007.810	2007	5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2007.814	2007	5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2007.816	2007	5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2007.818	2007	5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2007.820	2007	5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2007.822	2007	5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2007.824	2007	5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2007.826	2007	5	LBJBC	BC	LBJ	Texanus_20_21	NA	NA	GBS2
2007.525	2007	5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2007.527	2007	5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2007.529	2007	5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2007.531	2007	5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2007.533	2007	5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2007.535	2007	5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2007.537	2007	5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2007.539	2007	5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2007.541	2007	5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2007.543	2007	5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2007.545	2007	5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2007.547	2007	5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2007.526	2007	5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
2007.528	2007	5	BFLBC	BC	BFL	Texanus_20_21	NA	NA	GBS2
