ID	year	gen	plot_type	type	location	lane1	lane2	lane3	tech
2004.052	2004	2.5	BFLBC	BC	BFL	NA	NA	NA	NA
2006.206	2006	4	LBJBC	BC	LBJ	NA	NA	NA	NA
2007.804	2007	5	LBJBC	BC	LBJ	NA	NA	NA	NA
2007.812	2007	5	LBJBC	BC	LBJ	NA	NA	NA	NA
2007.532	2007	5	BFLBC	BC	BFL	NA	NA	NA	NA
2007.544	2007	5	BFLBC	BC	BFL	NA	NA	NA	NA
2007.785	2007	5	LBJBC	BC	LBJ	NA	NA	NA	NA
2007.789	2007	5	LBJBC	BC	LBJ	NA	NA	NA	NA
2007.801	2007	5	LBJBC	BC	LBJ	NA	NA	NA	NA
2007.817	2007	5	LBJBC	BC	LBJ	NA	NA	NA	NA
2007.828	2007	5	LBJBC	BC	LBJ	NA	NA	NA	NA
2007.784	2007	5	LBJBC	BC	LBJ	NA	NA	NA	NA
2008.146	2008	6	LBJBC	BC	LBJ	NA	NA	NA	NA
2008.178	2008	6	LBJBC	BC	LBJ	NA	NA	NA	NA
2008.202	2008	6	LBJBC	BC	LBJ	NA	NA	NA	NA
2008.206	2008	6	LBJBC	BC	LBJ	NA	NA	NA	NA
2008.222	2008	6	LBJBC	BC	LBJ	NA	NA	NA	NA
2008.230	2008	6	LBJBC	BC	LBJ	NA	NA	NA	NA
2008.740	2008	1	KPCBC	BC	KPC	NA	NA	NA	NA
2008.748	2008	1	KPCBC	BC	KPC	NA	NA	NA	NA
2008.984	2008	1	HCCBC	BC	HCC	NA	NA	NA	NA
2008.1008	2008	1	HCCBC	BC	HCC	NA	NA	NA	NA
2008.054	2008	6	BFLBC	BC	BFL	NA	NA	NA	NA
2008.062	2008	6	BFLBC	BC	BFL	NA	NA	NA	NA
2008.066	2008	6	BFLBC	BC	BFL	NA	NA	NA	NA
2008.074	2008	6	BFLBC	BC	BFL	NA	NA	NA	NA
2008.086	2008	6	BFLBC	BC	BFL	NA	NA	NA	NA
2008.090	2008	6	BFLBC	BC	BFL	NA	NA	NA	NA
2008.098	2008	6	BFLBC	BC	BFL	NA	NA	NA	NA
2009.804	2009	7	BFLBC	BC	BFL	NA	NA	NA	NA
2009.838	2009	7	BFLBC	BC	BFL	NA	NA	NA	NA
2009.874	2009	7	BFLBC	BC	BFL	NA	NA	NA	NA
2009.014	2009	2	HCCBC	BC	HCC	NA	NA	NA	NA
2009.262	2009	2	KPCBC	BC	KPC	NA	NA	NA	NA
2009.272	2009	2	KPCBC	BC	KPC	NA	NA	NA	NA
